method,n,z_effect_scale,zx_influence_scale,n_strata,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,abs_bias_crude_mean,abs_bias_stratified_mean
1A_predicted_prob,500,2.0,0.2,10,-0.0005071947598222253,0.004797511154510728,0.0008759016930693927,0.0017167673184160096,0.9799061392266871,0.05617295531765016,0.010255731583068922,0.020101233902815086,0.04614435697337208,0.018940446863560043,0.0034580366654666027,0.006777751864314541,0.12417173035400642,0.06547734610206454,0.01195447315522457,0.023430767384240155,0.04862043325518502,0.03241493916176819,0.00591813112635268,0.011599537007651253,0.04734585835549422,0.03306339115491616,0.006036521721054789,0.011831582573267387,0.0012745748996907966,0.009314074975201477,0.0017005096554040732,0.0033329989245919835,0.026214799300556813,0.37407949072108165,0.06829725845599363,0.1338626265737475,0.04862043325518502,0.04734585835549422
1A_predicted_prob,500,2.0,0.5,3,0.00692343570955406,0.006768518526380762,0.0012357567592634563,0.002422083248156374,0.9048595747553289,0.16863335906339372,0.030788098235629665,0.06034467254183414,0.07123850188598493,0.033999188056144755,0.006207374078403567,0.012166453193670991,0.07825999943864592,0.09727373372115652,0.017759672737276123,0.0348089585650612,0.03650671617533425,0.02261106951118366,0.0041281976068642,0.008091267309453832,0.036062539575984584,0.024273223646311553,0.004431664044817546,0.00868606152784239,0.00044417659934965455,0.011754669296335094,0.002146099176538703,0.004206354386015858,0.012166983116651098,0.8434888137090945,0.1539992834239146,0.3018385955108726,0.03650671617533425,0.036062539575984584
1A_predicted_prob,500,2.0,0.5,5,0.00781307366441402,0.00689217129292899,0.0012583325624422512,0.0024663318223868123,0.9422552378472295,0.11936139308188497,0.021792309162063157,0.04271292595764379,0.08335055634751606,0.03380612151228023,0.006172125111345513,0.012097365218237205,0.13845647751246432,0.13401119484395901,0.024466984791418785,0.04795529019118082,0.039279890277256466,0.034150009101355606,0.006234910107939731,0.012220423811561873,0.038757800710670316,0.02946140819593623,0.005378892614927285,0.010542629525257478,0.0005220895665861735,0.011161932311085433,0.002037880704042421,0.003994246179923145,0.013291523038913566,8.750337518798636,1.5975857482765994,3.131268066622135,0.039279890277256466,0.038757800710670316
1A_predicted_prob,500,2.0,0.5,10,0.0057220552421465435,0.007778440685966715,0.0014201424753066427,0.0027834792516010197,0.9726414148189225,0.09450354015342144,0.017253906902041382,0.03381765752800111,0.10155650525355717,0.034783522344127044,0.006350573272454451,0.012447123614010725,0.17745475730951416,0.18879426253792359,0.034468958773191095,0.06755915919545455,0.04214830464198716,0.03638827703361655,0.006643560053352986,0.013021377704571851,0.043599126662005404,0.035125100837569694,0.006412936687793508,0.012569355908075276,-0.0014508220200182512,0.015472953505319452,0.0028249618886973652,0.0055369253018468356,-0.03442183576164459,35.944656115141356,6.562566325342978,12.862629997672236,0.04214830464198716,0.043599126662005404
1A_predicted_prob,500,2.0,1.0,3,0.026998832297869813,0.007797988552487882,0.001423711411121557,0.0027904743657982518,0.913627050223957,0.17352392021764895,0.03168098845664436,0.06209473737502295,0.2140522981503601,0.051160764975791494,0.009340635012153748,0.018307644623821347,0.11782536832607637,0.11754102878171226,0.021459957632035925,0.042061516958790415,0.05348554624954056,0.04472946198764709,0.008166445105234725,0.016006232406260062,0.04475764225658171,0.03885192937334988,0.007093359373460427,0.013902984371982436,0.00872790399295884,0.019983374907112352,0.003648448403902713,0.007150958871649317,0.1631824783510334,2.0673987490189685,0.37745364339855014,0.7398091410611582,0.05348554624954056,0.04475764225658171
1A_predicted_prob,500,2.0,1.0,5,0.026508654479764086,0.008649665151187218,0.0015792055727238575,0.0030952429225387604,0.9377696673232925,0.1648648722863632,0.030100069830483144,0.05899613686774696,0.2463322863741212,0.03927282204010569,0.007170203509417314,0.014053598878457935,0.11442811494151853,0.11775817417082575,0.021499602774661158,0.042139221438335865,0.040403037998903026,0.027868502506251367,0.005088069155521044,0.009972615544821246,0.030627553377400883,0.026165672356122223,0.0047771763272458296,0.009363265601401825,0.00977548462150212,0.015526384622299303,0.002834717031378219,0.00555604538150131,0.2419492470285911,0.762513745270375,0.1392153262307775,0.2728620394123239,0.040403037998903026,0.030627553377400883
1A_predicted_prob,500,2.0,1.0,10,0.01965251265607275,0.008025502061133874,0.0014652495047290759,0.0028718890292689886,0.9347482196671996,0.11403263093050064,0.020819414750765507,0.04080605291150039,0.25054740029793154,0.05307648757103918,0.009690396505266914,0.01899317715032315,0.14426381322509665,0.12349046412655373,0.02254617094629866,0.04419049505474537,0.042368037449859924,0.028807398502469685,0.005259487327614396,0.010308595162124215,0.03216595639936999,0.021616253573177983,0.0039465698969270765,0.00773527699797707,0.010202081050489923,0.02156419993533776,0.003937066246378645,0.007716649842902145,0.24079663974437082,2.4570420872771126,0.4485924586470839,0.8792412189482844,0.042368037449859924,0.03216595639936999
1A_predicted_prob,2000,0.5,0.2,3,0.0009921055195144357,0.00136938909129831,0.00025001509843519524,0.0004900295929329827,0.8307339032508566,0.2198792942490431,0.04014428312950562,0.07868279493383101,0.03730812022837148,0.011830537485394216,0.002159950749386952,0.004233503468798426,0.09084545098899469,0.09783123248924616,0.017861457620964135,0.035008456937089705,0.020833669601658403,0.017427929704323813,0.0031818900765574975,0.006236504550052695,0.02073359164529663,0.017424959554261956,0.003181347803828146,0.006235441695503166,0.0001000779563617705,0.002927726495090696,0.0005345272811889041,0.001047673471130252,0.004803664369996796,1.4755571324347934,0.2693986421073914,0.5280213385304872,0.020833669601658403,0.02073359164529663
1A_predicted_prob,2000,0.5,0.2,5,0.0013971566410358567,0.0014471499561882646,0.0002642122250323085,0.0005178559610633246,0.8808141390330704,0.19176395886365374,0.03501114866203863,0.06862185137759572,0.04648515828904832,0.01042136652083417,0.0019026725078300022,0.0037292381153468043,0.08425287879504859,0.1053888411570738,0.019241281870352723,0.037712912465891334,0.022433699225377326,0.01592147738705467,0.002906850771232751,0.005697427511616192,0.022138456787400274,0.01613943671187542,0.002946644517507058,0.005775423254313834,0.0002952424379770533,0.002773960802301947,0.0005064536350186349,0.0009926491246365244,0.013160666683231126,0.31089274422531415,0.05676098965896284,0.11125153973156716,0.022433699225377326,0.022138456787400274
1A_predicted_prob,2000,0.5,0.2,10,0.0009178475015956488,0.0016167888202125978,0.00029518390251753474,0.0005785604489343681,0.9001478533694297,0.13672333035089307,0.02496215072347162,0.04892581541800437,0.05281053828937298,0.015890051012539205,0.0029011131264918425,0.005686181727924011,0.10485434188367947,0.13508118132352165,0.02466233670177945,0.048338179935487724,0.015568906923253833,0.010414189633617368,0.0019013621934895644,0.0037266698992395463,0.014931329387806926,0.010108108540797188,0.001845479687168416,0.0036171401868500953,0.0006375775354468867,0.002984104286425761,0.0005448204105410823,0.0010678480046605212,0.040951978105451814,0.4901395096143979,0.08948682191344198,0.1753941709503463,0.015568906923253833,0.014931329387806926
