sim_id,n,n_strata,z_effect_scale,zx_influence_scale,x_effect_scale,noise_level,n_z_vars,treatment_effect,em_strength,nonlinear,actual_event_rate,treatment_prevalence,method,error,ARI,NMI,V_measure,eta2_Z1_age,eta2_Z2_sex,eta2_Z3_bmi,eta2_mean,C1,W,direction_consistency_rate,simpson_detected,crude_ate,stratified_ate,true_ate,bias_crude,bias_stratified,bias_reduction,cate_eta2,cate_range,max_SMD_Z1_age,max_SMD_Z2_sex,max_SMD_Z3_bmi,mean_max_SMD
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,1C_cv_decision,,0.007865756609616465,0.03259354407392135,0.03259354407392135,0.11391949426499116,0.0014107808139609758,0.02120810630834665,0.04551279379576626,0.47005298218376,0.15873924946498708,1.0,False,0.12429847474509081,0.10636545137860379,0.07093952315950917,0.05335895158558164,0.03542592821909461,0.017933023366487028,0.1587392494649872,0.05875935582607456,0.8525311179764985,0.08999088645203368,0.35084443888560685,0.43112214777137964
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,1D_ml_uncertainty,,0.00853690094591743,0.03538963891472896,0.03538963891472896,0.09825411104554402,0.007898462364858876,0.02368228918367519,0.043278287531359365,0.7034289688218607,0.11784618539267344,1.0,False,0.12429847474509081,0.0876969902543879,0.07093952315950917,0.05335895158558164,0.016757467094878728,0.03660148449070291,0.11784618539267361,0.05061700176044994,0.7968786337731639,0.21876561072461964,0.37168161641341907,0.4624419536370676
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,2B_clustering,,0.0033697346013327337,0.020920359209858044,0.020920359209858044,0.07581720108821804,0.0007917858112690885,0.01361730463935913,0.030075430512948753,0.4734213074513489,0.07491977537988237,1.0,False,0.12429847474509081,0.11237641091330157,0.07093952315950917,0.05335895158558164,0.041436887753792395,0.011922063831789245,0.07491977537988231,0.039585020250506774,0.6545499780570977,0.05951686146772808,0.2860177471633275,0.33336152889605114
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,comp_PS_quintile,,0.008410373734975444,0.0328618603467478,0.0328618603467478,0.10751031987336185,0.0005435377232208445,0.027281320646221994,0.045111726080934895,1.0,0.15625051360596942,1.0,False,0.12429847474509081,0.10423470584829278,0.07093952315950917,0.05335895158558164,0.033295182688783606,0.020063768896798034,0.1562505136059694,0.05846356058537694,0.8269266154237692,0.056964461797325144,0.4085627490338961,0.43081794208499685
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,comp_GMM,,0.003298910091009258,0.018966932572227497,0.018966932572227497,0.06837174246341525,0.0017490158007216002,0.005612299876002459,0.02524435271337977,1.0,0.07509558757642487,1.0,False,0.12429847474509081,0.11311360848556123,0.07093952315950917,0.05335895158558164,0.04217408532605206,0.01118486625952958,0.07509558757642493,0.040037011137377204,0.6361171973775669,0.09477837131832961,0.18687365091298655,0.305923073202961
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,comp_kmeans_X,,0.0033697346013327337,0.020920359209858044,0.020920359209858044,0.07581720108821804,0.0007917858112690885,0.01361730463935913,0.030075430512948753,0.4734213074513489,0.07491977537988237,1.0,False,0.12429847474509081,0.11237641091330157,0.07093952315950917,0.05335895158558164,0.041436887753792395,0.011922063831789245,0.07491977537988231,0.039585020250506774,0.6545499780570977,0.05951686146772808,0.2860177471633275,0.33336152889605114
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,comp_prognostic,,0.0064877102469657125,0.032990050785040914,0.032990050785040914,0.1319082292787393,0.0019638531797277216,0.006796924995948519,0.04688966915147185,0.7827016840166491,0.14497509539704556,1.0,False,0.12429847474509081,0.1055904347766882,0.07093952315950917,0.05335895158558164,0.03465091161717902,0.018708039968402618,0.14497509539704562,0.056349403847714044,0.9314231397978009,0.09758308774433119,0.20460340377504463,0.4112032104390589
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,2A_PCA_cum40,,0.002449841862991055,0.01628563555909078,0.01628563555909078,0.048508123349235696,0.00012332812866742106,0.012954420920403314,0.02052862413276881,1.0,0.06348735205589862,1.0,False,0.12429847474509081,0.11644607575901347,0.07093952315950917,0.05335895158558164,0.0455065525995043,0.007852398986077341,0.06348735205589856,0.037303628675623965,0.556960787758359,0.025459995595527016,0.2762958257446,0.28623886969949536
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,2A_PCA_cum60,,0.002017998990862975,0.012758013533625408,0.01275801353362541,0.019328602624833654,0.0006513198085745277,0.011310444005971627,0.010430122146459936,1.0,0.035718448236932154,1.0,False,0.12429847474509081,0.11978348342038453,0.07093952315950917,0.05335895158558164,0.048843960260875355,0.004514991324706286,0.03571844823693196,0.027869427362476176,0.34310400361730325,0.061480983990967596,0.25916567375558036,0.22125022045461706
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,2A_PCA_cum80,,0.0012753392744643663,0.009918186100736607,0.009918186100736609,0.01465442780506639,0.0017803830978762975,0.011200180332518059,0.009211663745153581,1.0,0.030428836858733876,1.0,False,0.12429847474509081,0.11894578322440295,0.07093952315950917,0.05335895158558164,0.04800626006489378,0.005352691520687861,0.030428836858733807,0.025705234468272428,0.2977265646758744,0.09298806876264812,0.2610486192550298,0.21725441756451747
0,2000,3,1.0,0.5,1.0,1.0,3,0.5,0.4,False,0.2255,0.503,2A_PCA_k1,,0.006341928895228208,0.03405111266666347,0.03405111266666347,0.1252603610305911,0.0032598327576815345,0.010994144088441783,0.046504779292238146,1.0,0.14970580734537864,1.0,False,0.12429847474509081,0.10606493361857211,0.07093952315950917,0.05335895158558164,0.035125410459062936,0.018233541126518704,0.14970580734537844,0.057221284023653854,0.9229390006180752,0.12609410045921052,0.25119084542070436,0.4334079821659967
