sim_id,n,n_strata,z_effect_scale,zx_influence_scale,x_effect_scale,noise_level,n_z_vars,nonlinear,actual_event_rate,actual_treatment_prevalence,true_ate_riskdiff,method,error,ARI,NMI,V_measure,eta2_Z1_age,eta2_Z2_sex,eta2_Z3_bmi,eta2_mean,weighted_entropy_Z2,entropy_reduction_Z2,C1_heterogeneity,W_true,W_est,crude_effect,stratified_effect,true_ate,bias_crude,bias_stratified,bias_reduction,bias_reduction_relative
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,2A_PCA_cum80,,0.0004298889737545033,0.013009909121139729,0.013009909121139727,0.009559665342510645,0.0023261529065683284,0.013408406766479175,0.008431408338519382,0.9980872600941997,0.0019127399058003203,1.0,0.02449973719017773,0.036102062508636346,-0.004368457333397441,-0.0035688550283424145,0.0095648548667186,0.013933312200116042,0.013133709895061015,0.0007996023050550263,0.05738781228546408
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,2A_PCA_k1,,0.0011871211622641003,0.01418852463229473,0.01418852463229473,0.00047413378106278136,0.0013612465657441004,0.001487121298385596,0.0011075005483974925,0.9987842537658772,0.0012157462341227943,1.0,5.15514966488162e-05,0.003983110696563985,-0.004368457333397441,-0.0016483144876127055,0.0095648548667186,0.013933312200116042,0.011213169354331306,0.0027201428457847357,0.1952258592010937
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,2A_PCA_k2,,-0.00020533377065359916,0.009567784660239715,0.009567784660239715,0.006889149759699146,0.00025929077648036516,0.0007742533984430952,0.0026408979782075355,0.9995792309206164,0.0004207690793835983,0.19175397011131146,0.009366046821482343,0.12798863492637735,-0.004368457333397441,-0.005483883766624644,0.0095648548667186,0.013933312200116042,0.015048738633343245,-0.0011154264332272033,-0.0800546501224535
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,2A_PCA_k3,,0.0009755810934931579,0.01174780561153873,0.011747805611538731,0.0003857232700192634,0.0008597568561541968,0.0008164585427725611,0.0006873128896486739,0.9991459022256357,0.000854097774364293,1.0,0.0004623230237930098,0.049421074626191386,-0.004368457333397441,-0.004109264670649526,0.0095648548667186,0.013933312200116042,0.013674119537368128,0.00025919266274791394,0.018602372431284153
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,baseline_random,,-0.0010607693641899558,0.006969672124424854,0.006969672124424853,0.0007368151213419426,0.0005413280009193767,0.0010198606564615926,0.000766001259574304,0.9993758077486201,0.0006241922513798848,1.0,0.0007819926379479814,0.007475283904988084,-0.004368457333397441,-0.004664407716008818,0.0095648548667186,0.013933312200116042,0.014229262582727418,-0.0002959503826113763,-0.02124049029841668
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,baseline_oracle_kmeans,,0.32678822807866226,0.5934708070456859,0.5934708070456859,0.0011532108766900567,0.7003829240673978,0.716034175969781,0.4725234369712896,0.29965366079856054,0.7003463392014395,1.0,0.17912804206481459,0.004821109894531217,-0.004368457333397441,-0.004123054702885676,0.0095648548667186,0.013933312200116042,0.013687909569604277,0.0002454026305117648,0.017612655697883617
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,baseline_oracle_quantile,,0.049362968801934554,0.20918721536068427,0.20918721536068424,0.8061912769553502,0.0009736892989449366,0.0002770571553135566,0.2691473411365362,0.9990638410444445,0.0009361589555555438,1.0,0.3817658118100228,0.0015436626004931009,-0.004368457333397441,-0.008933774237648046,0.0095648548667186,0.013933312200116042,0.018498629104366646,-0.004565316904250605,-0.3276548202381184
0,2000,3,1.0,0.5,1.0,1.0,3,False,0.1495,0.501,0.00926046073323272,1A_predicted_prob,,0.003679843935860177,0.02732601795517251,0.027326017955172508,0.09036077649527319,0.003599482878011555,0.01165681961953984,0.035205692997608194,0.997374639703315,0.002625360296685031,0.4495557728260583,0.10644551150569614,0.15957618827736908,-0.026298082314679838,-0.02332123564311707,0.00926046073323272,0.03555854304791256,0.03258169637634979,0.002976846671562769,0.0837167784841939
0,2000,3,1.0,0.5,1.0,1.0,3,False,0.1495,0.501,0.00926046073323272,1B_residual,,0.0076009612889978975,0.043813611822112734,0.043813611822112734,0.14582300164849568,0.0049153344107491165,0.024644841628287686,0.05846105922917749,0.9964232847171148,0.003576715282885168,1.0,0.1792390136167341,0.12447858984071258,-0.026298082314679838,-0.025311849710982662,0.00926046073323272,0.03555854304791256,0.03457231044421538,0.0009862326036971791,0.027735461556124608
0,2000,3,1.0,0.5,1.0,1.0,3,False,0.1495,0.501,0.00926046073323272,1C_cv_decision,,0.003679843935860177,0.02732601795517251,0.027326017955172508,0.09036077649527319,0.003599482878011555,0.01165681961953984,0.035205692997608194,0.997374639703315,0.002625360296685031,0.4495557728260583,0.10644551150569614,0.15957618827736908,-0.026298082314679838,-0.02332123564311707,0.00926046073323272,0.03555854304791256,0.03258169637634979,0.002976846671562769,0.0837167784841939
